"Name","Twitter","Party","Country"
"Naomi Long","naomi_long","Alliance","United Kingdom"
"Adam Afriyie","AdamAfriyie","Conservative","United Kingdom"
"Peter Aldous","peter_aldous","Conservative","United Kingdom"
"Tony Baldry","TonyBaldry","Conservative","United Kingdom"
"Harriett Baldwin","HBaldwinMP","Conservative","United Kingdom"
"Stephen Barclay","SteveBarclayMP","Conservative","United Kingdom"
"Gregory Barke","GregBarkerMP","Conservative","United Kingdom"
"Gavin Barwell","GavinBarwellMP","Conservative","United Kingdom"
"Guto Bebb","GutoBebb","Conservative","United Kingdom"
"Richard Benyon","RichardBenyonMP","Conservative","United Kingdom"
"Andrew Bingham","HighPeakAndrew","Conservative","United Kingdom"
"Bob Blackman","BobBlackmanMP","Conservative","United Kingdom"
"Nicola Blackwood","nicolablackwood","Conservative","United Kingdom"
"Crispin Blunt","crispinbluntmp","Conservative","United Kingdom"
"Nick Boles","NickBolesMP","Conservative","United Kingdom"
"Peter Bone","PeterBoneMP","Conservative","United Kingdom"
"Karen Bradley","karen__bradley","Conservative","United Kingdom"
"Andrew Bridgen","AndrewBridgenMP","Conservative","United Kingdom"
"Steve Brine","sbrine","Conservative","United Kingdom"
"James Brokenshire","JBrokenshire","Conservative","United Kingdom"
"Robert Buckland","RobertBuckland","Conservative","United Kingdom"
"Aidan Burley","AidanBurleyMP","Conservative","United Kingdom"
"Conor Burns","Conor_BurnsMP","Conservative","United Kingdom"
"David Burrowes","davidburrowesmp","Conservative","United Kingdom"
"Dan Byles","danielbyles","Conservative","United Kingdom"
"Alun Cairns","AlunCairns","Conservative","United Kingdom"
"David Cameron","David_Cameron","Conservative","United Kingdom"
"Neil Carmichael","neil_mp","Conservative","United Kingdom"
"Douglas Carswell","DouglasCarswell","Conservative","United Kingdom"
"Greg Clark","gregclarkmp","Conservative","United Kingdom"
"Thérèse Coffey","theresecoffey","Conservative","United Kingdom"
"Damian Collins","DamianCollins","Conservative","United Kingdom"
"Oliver Colvile","olivercolvile","Conservative","United Kingdom"
"Geoffrey Cox","Geoffrey_Cox","Conservative","United Kingdom"
"Stephen Crabb","SCrabbMP","Conservative","United Kingdom"
"Tracey Crouch","tracey_crouch","Conservative","United Kingdom"
"David T. C. Davies","davidtcdavies","Conservative","United Kingdom"
"Glyn Davies","GlynDaviesMP","Conservative","United Kingdom"
"Philip Davies","PhilipDaviesMP","Conservative","United Kingdom"
"Nick de Bois","nickdebois","Conservative","United Kingdom"
"Caroline Dinenage","cj_dinenage","Conservative","United Kingdom"
"Jonathan Djanogly","JDjanogly","Conservative","United Kingdom"
"Nadine Dorries","NadineDorriesMP","Conservative","United Kingdom"
"Jackie Doyle-Price","JACKIEDP","Conservative","United Kingdom"
"James Duddridge","JamesDuddridge","Conservative","United Kingdom"
"Michael Ellis","Michael_Ellis1","Conservative","United Kingdom"
"Tobias Ellwood","TobiasEllwoodMP","Conservative","United Kingdom"
"Charlie Elphicke","CharlieElphicke","Conservative","United Kingdom"
"Jonathan Evans","JonathanEvansMP","Conservative","United Kingdom"
"David Evennett","DavidEvennett","Conservative","United Kingdom"
"Michael Fabricant","Mike_Fabricant","Conservative","United Kingdom"
"Mark Field","MarkFieldMP","Conservative","United Kingdom"
"Liam Fox","LiamFoxMP","Conservative","United Kingdom"
"George Freeman","Freeman_George","Conservative","United Kingdom"
"Mike Freer","mikefreermp","Conservative","United Kingdom"
"Mark Garnier","Mark4WyreForest","Conservative","United Kingdom"
"Cheryl Gillan","CherylGillanMP","Conservative","United Kingdom"
"John Glen","JohnGlenMP","Conservative","United Kingdom"
"Zac Goldsmith","ZacGoldsmith","Conservative","United Kingdom"
"Robert Goodwill","transportgovuk","Conservative","United Kingdom"
"Richard Graham","RichardGrahamMP","Conservative","United Kingdom"
"Helen Grant","HelenGrantMP","Conservative","United Kingdom"
"James Gray","JamesGrayMP","Conservative","United Kingdom"
"Damian Green","damiangreenmp","Conservative","United Kingdom"
"Justine Greening","JustineGreening","Conservative","United Kingdom"
"Andrew Griffiths","agriffithsmp","Conservative","United Kingdom"
"Ben Gummer","ben4ipswich","Conservative","United Kingdom"
"Sam Gyimah","SamGyimah","Conservative","United Kingdom"
"William Hague","WilliamJHague","Conservative","United Kingdom"
"Robert Halfon","halfon4harlowMP","Conservative","United Kingdom"
"Matthew Hancock","matthancockmp","Conservative","United Kingdom"
"Greg Hands","GregHands","Conservative","United Kingdom"
"Mark Harper","Mark_J_Harper","Conservative","United Kingdom"
"Richard Harrington","Richard4Watford","Conservative","United Kingdom"
"Rebecca Harris","RebeccaHarrisMP","Conservative","United Kingdom"
"Simon Hart","Simonhartmp","Conservative","United Kingdom"
"Chris Heaton-Harris","chhcalling","Conservative","United Kingdom"
"Nick Herbert","nickherbertmp","Conservative","United Kingdom"
"Mark Hoban","markhobanmp","Conservative","United Kingdom"
"George Hollingbery","GHollingbery","Conservative","United Kingdom"
"Kris Hopkins","khopkinsmp","Conservative","United Kingdom"
"Gerald Howarth","geraldhowarth","Conservative","United Kingdom"
"John Howell","JohnHowellMP","Conservative","United Kingdom"
"Jeremy Hunt","Jeremy_Hunt","Conservative","United Kingdom"
"Nick Hurd","minforcivsoc","Conservative","United Kingdom"
"Stewart Jackson","SJacksonMP","Conservative","United Kingdom"
"Margot James","margotjamesmp","Conservative","United Kingdom"
"Sajid Javid","sajidjavid","Conservative","United Kingdom"
"Bernard Jenkin","bernardjenkin","Conservative","United Kingdom"
"Robert Jenrick","RobertJenrick","Conservative","United Kingdom"
"Joseph Johnson","JoJohnsonMP","Conservative","United Kingdom"
"Andrew Jones","AndrewJonesMP","Conservative","United Kingdom"
"David Jones","DavidJonesMP","Conservative","United Kingdom"
"Marcus Jones","MarcusJonesMP","Conservative","United Kingdom"
"Simon Kirby","SimonKirbyMP","Conservative","United Kingdom"
"Greg Knight","gregknightmp","Conservative","United Kingdom"
"Eleanor Lain","EleanorLaingMP","Conservative","United Kingdom"
"Mark Lancaster","MarkLancasterMP","Conservative","United Kingdom"
"Pauline Latham","Pauline_Latham","Conservative","United Kingdom"
"Andrea Leadsom","andrealeadsom","Conservative","United Kingdom"
"andrealeadsom","JessicaLeeMP","Conservative","United Kingdom"
"Phillip Lee","DrPhillipLeeMP","Conservative","United Kingdom"
"Jeremy Lefroy","JeremyLefroyMP","Conservative","United Kingdom"
"Edward Leigh","EdwardLeighMP","Conservative","United Kingdom"
"Charlotte Leslie","CLeslieMP","Conservative","United Kingdom"
"Oliver Letwin","OliverLetwinMP","Conservative","United Kingdom"
"Brandon Lewis","BrandonLewis","Conservative","United Kingdom"
"David Lidington","DLidington","Conservative","United Kingdom"
"Jack Lopresti","JackLoprestiMP","Conservative","United Kingdom"
"Tim Loughton","timloughton","Conservative","United Kingdom"
"Peter Luff","PeterJLuff","Conservative","United Kingdom"
"Mary Macleod","MaryMacleodMP","Conservative","United Kingdom"
"Paul Maynard","PaulMaynardMP","Conservative","United Kingdom"
"Jason McCartney","JasonMcCartney","Conservative","United Kingdom"
"Karl McCartney","karlmccartney","Conservative","United Kingdom"
"Anne McIntosh","AnneMcIntoshMP","Conservative","United Kingdom"
"Stephen McPartland","SMcPartlandMP","Conservative","United Kingdom"
"Esther McVey","EstherMcVeyMP","Conservative","United Kingdom"
"Stephen Metcalfe","SteveMetcalfeMP","Conservative","United Kingdom"
