"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"CA","13","D","F","L000551","29778",91,-2.14214712931208,-2.57390686872515,-1.65999878690556,"Lee (D CA-13)",1,"Barbara","Lee"
"CA","17","D","M","H001034","20103",12,-1.9428277430221,-2.36286189262053,-1.54891262540855,"Honda (D CA-17)",2,"Michael","Honda"
"WI","2","D","M","P000607","21370",13,-1.89701483317303,-2.29599035776551,-1.52228026740955,"Pocan (D WI-2)",3,"Mark","Pocan"
"IL","9","D","F","S001145","29911",18,-1.82016620043394,-2.16114480445077,-1.46535281297314,"Schakowsky (D IL-9)",4,"Jan","Schakowsky"
"GA","5","D","M","L000287","15431",70,-1.80366282263457,-2.23162226205227,-1.43719802501373,"Lewis (D GA-5)",5,"John","Lewis"
"NY","7","D","F","V000081","29378",15,-1.76226669036257,-2.10524456300895,-1.44224575163782,"Vel<U+00E1>zquez (D NY-7)",6,"Nydia","Velázquez"
"MA","2","D","M","M000312","29729",14,-1.71950304836667,-2.08112544905703,-1.38667317211489,"McGovern (D MA-2)",7,"Jim","McGovern"
"MD","8","D","M","V000128","20330",11,-1.66669155577163,-1.99425905512149,-1.36130119548714,"Van Hollen (D MD-8)",8,"Chris","Van Hollen"
"MD","3","D","M","S001168","20724",22,-1.66236247903846,-1.99299712801547,-1.37888305487306,"Sarbanes (D MD-3)",9,"John","Sarbanes"
"NY","9","D","F","C001067","20733",23,-1.6318625171109,-1.9336487427909,-1.32230949692339,"Clarke (D NY-9)",10,"Yvette","Clarke"
"NY","15","D","M","S000248","29134",5,-1.62605503257547,-1.93954217642379,-1.33663365293876,"Serrano (D NY-15)",11,"José","Serrano"
"CA","27","D","F","C001080","20955",49,-1.59963711537377,-1.89884968851454,-1.29308263505533,"Chu (D CA-27)",12,"Judy","Chu"
"MD","7","D","M","C000984","29587",28,-1.59408656717803,-1.88377711199242,-1.29618249063985,"Cummings (D MD-7)",13,"Elijah","Cummings"
"MI","13","D","M","C000714","10713",55,-1.59344520277961,-1.87903789535206,-1.31507760528148,"Conyers Jr. (D MI-13)",14,"John","Conyers Jr."
"NJ","12","D","F","W000822","",15,-1.59203504416152,-1.89841810224524,-1.28811273879145,"Watson Coleman (D NJ-12)",15,"Bonnie","Watson Coleman"
"CA","40","D","F","R000486","29317",19,-1.55994872184116,-1.85071403947953,-1.29710751613622,"Roybal-Allard (D CA-40)",16,"Lucille","Roybal-Allard"
"MN","5","D","M","E000288","20727",27,-1.55668919111224,-1.84048171542317,-1.27789546716869,"Ellison (D MN-5)",17,"Keith","Ellison"
"MA","5","D","F","C001101","",10,-1.54585565986828,-1.84036495033722,-1.29119993045116,"Clark (D MA-5)",18,"Katherine","Clark"
"CA","38","D","F","S001156","20310",17,-1.53422344941453,-1.81026414741818,-1.24248896246154,"Sanchez (D CA-38)",19,"Linda","Sanchez"
"AZ","7","D","M","G000574","",16,-1.50001807013088,-1.75258856189514,-1.2412580852203,"Gallego (D AZ-7)",20,"Ruben","Gallego"
"CA","11","D","M","D000623","",11,-1.49974650911551,-1.75524442394633,-1.22416283864571,"DeSaulnier (D CA-11)",21,"Mark","DeSaulnier"
"NY","10","D","M","N000002","29377",23,-1.49961134317868,-1.78597611107041,-1.26036656440552,"Nadler (D NY-10)",22,"Jerrold","Nadler"
"IL","4","D","M","G000535","29348",113,-1.49905965184683,-1.767449038936,-1.23229964747193,"Gutierrez (D IL-4)",23,"Luis","Gutierrez"
"WA","7","D","M","M000404","15613",20,-1.47682989910704,-1.7317116398921,-1.23961134352459,"McDermott (D WA-7)",24,"Jim","McDermott"
"CA","12","D","F","P000197","15448",50,-1.4650458687007,-1.72299900013151,-1.2305251269125,"Pelosi (D CA-12)",25,"Nancy","Pelosi"
"NY","8","D","M","J000294","21343",21,-1.43536575033472,-1.69388697024868,-1.18577282542927,"Jeffries (D NY-8)",26,"Hakeem","Jeffries"
"RI","1","D","M","C001084","21172",14,-1.42776728180276,-1.6863842876471,-1.19666802062511,"Cicilline (D RI-1)",27,"David","Cicilline"
"NJ","10","D","M","P000604","31103",169,-1.42154451315026,-1.68284771755791,-1.16069337354917,"Payne Jr. (D NJ-10)",28,"Donald","Payne Jr."
"NJ","6","D","M","P000034","15454",13,-1.41718880386066,-1.67578453654436,-1.17691937246066,"Pallone (D NJ-6)",29,"Frank","Pallone"
"CA","32","D","F","N000179","29903",31,-1.41251486216823,-1.64808401945303,-1.1746724456618,"Napolitano (D CA-32)",30,"Grace","Napolitano"
"NY","25","D","F","S000480","15444",36,-1.40909967070663,-1.63488473304832,-1.16947499972323,"Slaughter (D NY-25)",31,"Louise","Slaughter"
"MD","4","D","F","E000290","20763",22,-1.40150808111947,-1.63063717439842,-1.15635199321273,"Edwards (D MD-4)",32,"Donna","Edwards"
"NC","4","D","M","P000523","15438",22,-1.39759675387528,-1.64888767554917,-1.15396437912387,"Price (D NC-4)",33,"David","Price"
"CA","6","D","F","M001163","20538",8,-1.3656966059201,-1.59457891958827,-1.13453246166524,"Matsui (D CA-6)",34,"Doris","Matsui"
"CA","34","D","M","B000287","29316",39,-1.35912616607782,-1.5812907501728,-1.13006677040757,"Becerra (D CA-34)",35,"Xavier","Becerra"
"NY","20","D","M","T000469","20934",19,-1.35744207556243,-1.58230545992386,-1.14738241905161,"Tonko (D NY-20)",36,"Paul","Tonko"
"CA","43","D","F","W000187","29106",51,-1.35581246616931,-1.59070520501634,-1.14941900003689,"Waters (D CA-43)",37,"Maxine","Waters"
"CA","37","D","F","B001270","21110",57,-1.35324933842875,-1.61699823670016,-1.1522433236264,"Bass (D CA-37)",38,"Karen","Bass"
"CA","41","D","M","T000472","21312",6,-1.34994975137518,-1.58623798164103,-1.11959237548169,"Takano (D CA-41)",39,"Mark","Takano"
