id,afraid,angry,delighted,disgusted,happy,joyful,nervous,prideful,sad,scared,surprised,threatened,image_url
2404594960,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595328,Quite a Bit,Moderately,A Little,Not at All,A Little,A Little,Quite a Bit,Moderately,Quite a Bit,Quite a Bit,Quite a Bit,Moderately,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595539,Not at All,Moderately,Not at All,A Little,Not at All,Not at All,Not at All,Not at All,Moderately,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595576,Moderately,Moderately,A Little,Moderately,A Little,Moderately,Quite a Bit,Moderately,A Little,Moderately,Moderately,Moderately,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595652,Not at All,Not at All,Not at All,Not at All,A Little,Not at All,Moderately,Not at All,A Little,Not at All,Moderately,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595704,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Quite a Bit,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595719,A Little,Not at All,Not at All,Not at All,Not at All,Not at All,A Little,Not at All,Moderately,Moderately,Moderately,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404595834,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Extremely,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404596102,A Little,Moderately,Not at All,Quite a Bit,Not at All,Not at All,A Little,Not at All,Moderately,A Little,A Little,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404596190,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,A Little,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404596323,Extremely,A Little,Not at All,A Little,Not at All,Not at All,Quite a Bit,Not at All,Extremely,Extremely,Not at All,Moderately,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404596411,A Little,A Little,Not at All,Not at All,Not at All,Not at All,A Little,Not at All,Moderately,A Little,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404596549,Not at All,Not at All,Not at All,Not at All,Not at All,A Little,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404596616,Moderately,Moderately,A Little,Moderately,A Little,A Little,Moderately,Not at All,Not at All,Moderately,A Little,Moderately,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404597694,Quite a Bit,Moderately,Not at All,A Little,Not at All,Not at All,A Little,A Little,Moderately,Moderately,A Little,Moderately,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404598760,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Moderately,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404598904,Not at All,Not at All,Not at All,Not at All,Quite a Bit,Not at All,Not at All,Not at All,A Little,A Little,A Little,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404599670,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Extremely,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404618616,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Extremely,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404629053,A Little,A Little,Not at All,A Little,Not at All,Not at All,Not at All,Not at All,Moderately,Not at All,A Little,A Little,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a1.jpg
2404594954,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a2.jpg
2404595326,Moderately,Not at All,Moderately,Not at All,Moderately,Quite a Bit,A Little,Moderately,A Little,Quite a Bit,A Little,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a2.jpg
2404595538,Not at All,Not at All,Not at All,A Little,Not at All,Not at All,Not at All,Not at All,Moderately,Not at All,Not at All,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a2.jpg
2404595571,A Little,A Little,Moderately,A Little,Moderately,Moderately,Moderately,Moderately,A Little,Not at All,A Little,Not at All,https://s3.amazonaws.com/pablobarbera-data-bucket/images/image_a2.jpg
