"tag","count"
"selfie",108161286
"photooftheday",183384235
"bored",60612891
"l4l",72053459
"followme",176123436
"love",525287658
"f4f",57360369
"tbt",195921294
"bomdia",9427679
"me",229605506
"day",40098313
"mirror",8190521
"polishgirl",2985772
"nofilter",69846103
"tagsforlikes",164750607
"webstagram",71395804
"follow4follow",84204676
"iphoneonly",70250992
"instago",63759149
"pretty",71532632
"my",69369779
"style",81064628
"family",69169836
"instacool",60720426
"life",67587330
"hair",65051658
"instafollow",58775887
"likeforlike",71117960
"eyes",57972528
"christmas",46524602
"20likes",49215148
"funny",55452811
"colorful",48048801
"sun",60855590
"look",53744880
"lol",79233145
"tweegram",67961277
"all_shots",65033779
"nice",54219678
"cool",57070062
"instagood",243970500
"finnishgirl",2812473
"today",19484869
"happy",157711089
"party",49335996
"friends",112094384
"likeback",25319398
"instalike",101547259
"cute",195595513
"fun",118673224
"smile",114431520
"goodmorning",26410637
"boy",29616306
"instapic",33488346
"like4like",111846555
"instamood",85957656
"fashion",100908859
"summer",107991329
"igers",115003968
"picoftheday",135766450
"instadaily",122448185
"beautiful",156281876
"girl",157488113
"bestoftheday",93198449
"follow",201270995
"gay",12254674
"vsco",10955994
"vscocam",19977762
"tgif",9486600
"selfienation",1656036
"selfies",8990221
"tflers",95422622
"handsome",11247429
"instaselfie",1411631
"selfietime",1252225
"face",20711242
"portrait",5996916
"instalove",37375914
"igdaily",31436912
"swag",100466409
"retrica",7594623
"friday",22392760
"good",36951455
"followback",47310440
"followforfollow",57389604
"blonde",19023389
"ootd",27631852
"potd",7614162
"amazing",96065669
"selca",3633227
"morning",24539409
"beauty",42602930
"brunette",16999211
"black",39871457
"makeup",38870356
"girls",51860533
"work",28068718
"hot",45497838
"likes",33165619
"yolo",20388058
"food",100981851
"spamforspam",6532033
"stylish",11811061
"nails",24003643
"pink",45875147
"design",17540915
"model",28621528
"dress",20101007
"shoes",32753559
"heels",12208908
"styles",13280037
"outfit",18888324
"purse",7336026
"shopping",22152631
"glam",5774835
"sweet",34810899
"guy",11178290
"instagramers",26548043
"photo",39780675
"baby",44494813
"iphonesia",43772688
"commentforcomment",1440950
"c4c",10791483
"comment4comment",1677456
"s4s",24006130
"spam4spam",4128248
"recentforrecent",2336606
"r4r",1285092
"recent4recent",1699767
"shoutoutforshoutout",10724900
"shoutout4shoutout",9395948
"spamme",1145580
"edit",6774350
"likee",1163274
"kik",23482564
"shoutout",45840946
"jewelry",10057837
"dope",9923677
"boys",18859954
"so",24927608
"blue",40773233
"best",36454057
"hipster",9543429
"landscape",10434580
"hashtag",8190164
"shoutouts",18563304
"beach",43853970
"tumblr",17171123
"free",10204149
"kiss",16908833
"crazy",25049659
"haha",22736368
"brown",9208651
"with",22665330
"instaphoto",30322347
"drawing",14450107
"pet",10151759
"drunk",17746733
"gf_daily",1697197
"travel",14497588
"bff",20292096
"brother",16599293
"clubsocial",1476600
"clouds",17394766
"thanksgiving",5564740
"view",13431050
"a",31426977
"instagramer",7222104
"goodtimes",24680620
"starbucks",11397984
"vacation",11628408
"street",7361337
"awesome",37053207
"igaddict",8454862
"instalovers",2376719
"instabeauty",4094305
"instagallery",2230661
"instafamous",11647717
"instasg",1565867
"iphonography",2506821
"iphonegraphy",6386836
"bestpicture",1591682
"gmy",5662283
"igersoftheday",8522444
"insta",11605457
"igersmanila",4027347
"fabshots",1874915
"tag",4435659
"popularpic",1339671
"tagstagramers",2496964
"tagsta",7469047
"i",35756122
"school",31938279
"you",28035617
"weekend",16921492
"instaboy",3397696
"friend",30802993
"peace",14722648
