"Source","Target"
"112448318","116630713"
"112448318","119679411"
"112448318","119682506"
"112448318","135469780"
"112448318","1852171094"
"112448318","186894716"
"112448318","243214507"
"112448318","262846232"
"112448318","274027851"
"112448318","38673058"
"112448318","7459282"
"112448318","838396926"
"112448318","960353869"
"1137637033","112448318"
"1137637033","116630713"
"1137637033","119679411"
"1137637033","1852171094"
"1137637033","186894716"
"1137637033","2467791"
"1137637033","262846232"
"1137637033","3108351"
"1137637033","38673058"
"1137637033","807095"
"1137637033","838396926"
"114865774","122517396"
"114865774","1265031758"
"114865774","1362094614"
"114865774","154638135"
"114865774","15754281"
"114865774","15780295"
"114865774","161475427"
"114865774","16664681"
"114865774","17358750"
"114865774","18652755"
"114865774","18685292"
"114865774","1926061039"
"114865774","19265186"
"114865774","193919217"
"114865774","19809471"
"114865774","22803482"
"114865774","239935774"
"114865774","243214507"
"114865774","2467791"
"114865774","24907127"
"114865774","27998807"
"114865774","28220795"
"114865774","28450231"
"114865774","3108351"
"114865774","3167176103"
"114865774","3363261854"
"114865774","3382186754"
"114865774","369133270"
"114865774","380523278"
"114865774","400391325"
"114865774","405108328"
"114865774","48117919"
"114865774","491864203"
"114865774","508164075"
"114865774","510646300"
"114865774","51241574"
"114865774","52123405"
"114865774","52932412"
"114865774","57786393"
"114865774","71074656"
"114865774","747587106"
"114865774","759251"
"114865774","807095"
"114865774","826285384262774784"
"114865774","89544886"
"116630713","1137637033"
"116630713","1852171094"
"116630713","186894716"
"116630713","2303751216"
"116630713","243214507"
"116630713","2467791"
"116630713","262846232"
"116630713","2929717275"
"116630713","3005853742"
"116630713","38673058"
"116630713","960353869"
"1180479770","112448318"
"1180479770","1137637033"
"1180479770","116630713"
"1180479770","1327567483"
"1180479770","1852171094"
"1180479770","186894716"
"1180479770","243214507"
"1180479770","262846232"
"1180479770","38673058"
"1180479770","510646300"
"1180479770","807095"
"1180479770","89544886"
"1180479770","960353869"
"119679411","112448318"
"119679411","119682506"
"119679411","135469780"
"119679411","38673058"
"119679411","7459282"
"119682506","112448318"
"119682506","119679411"
"119682506","262846232"
"119682506","38673058"
"119682506","7459282"
"119682506","960353869"
"1222983870","243214507"
"1222983870","43925013"
"1222983870","51241574"
"1222983870","807095"
"122517396","114865774"
"122517396","1265031758"
"122517396","1362094614"
"122517396","154638135"
"122517396","15754281"
"122517396","15780295"
"122517396","161475427"
"122517396","16664681"
"122517396","17358750"
"122517396","18652755"
"122517396","18685292"
"122517396","19265186"
"122517396","193919217"
"122517396","19418459"
"122517396","19809471"
"122517396","201321992"
"122517396","20791157"
"122517396","22803482"
"122517396","239935774"
"122517396","243214507"
"122517396","2467791"
"122517396","24907127"
"122517396","25999985"
"122517396","27298118"
"122517396","27998807"
"122517396","28220795"
"122517396","284173293"
"122517396","28450231"
"122517396","3017688048"
"122517396","3108351"
"122517396","3167176103"
"122517396","3363261854"
"122517396","369133270"
"122517396","378855817"
"122517396","380523278"
"122517396","38349184"
"122517396","38673058"
"122517396","405108328"
"122517396","4515151"
"122517396","4805048978"
"122517396","48117919"
"122517396","48788647"
"122517396","508164075"
"122517396","510646300"
"122517396","51241574"
"122517396","52123405"
"122517396","52932412"
"122517396","57786393"
"122517396","63568032"
"122517396","6603812"
"122517396","71074656"
"122517396","747587106"
"122517396","759251"
"122517396","764159546726113280"
"122517396","791702110416936960"
"122517396","807095"
"122517396","813449437280423936"
"122517396","838396926"
"122517396","849289375544299520"
"122517396","89544886"
"1265031758","114865774"
"1265031758","122517396"
"1265031758","1362094614"
"1265031758","154638135"
"1265031758","15754281"
"1265031758","15780295"
"1265031758","161475427"
"1265031758","16664681"
"1265031758","18652755"
"1265031758","18685292"
"1265031758","19265186"
"1265031758","193919217"
"1265031758","19809471"
"1265031758","201321992"
"1265031758","20791157"
"1265031758","22803482"
"1265031758","239935774"
"1265031758","2467791"
"1265031758","24907127"
"1265031758","27298118"
"1265031758","27998807"
"1265031758","28220795"
"1265031758","284173293"
"1265031758","28450231"
"1265031758","3108351"
"1265031758","3167176103"
"1265031758","3180907718"
"1265031758","369133270"
"1265031758","378855817"
"1265031758","380523278"
"1265031758","405108328"
"1265031758","48117919"
"1265031758","508164075"
"1265031758","510646300"
"1265031758","51241574"
"1265031758","52123405"
"1265031758","57786393"
"1265031758","6603812"
"1265031758","71074656"
"1265031758","747587106"
"1265031758","807095"
"1265031758","89544886"
"1327567483","112448318"
"1327567483","1137637033"
"1327567483","116630713"
"1327567483","1180479770"
"1327567483","119679411"
"1327567483","119682506"
"1327567483","135469780"
"1327567483","15754281"
"1327567483","16196492"
