"Id","Label","name","description","followers_count","statuses_count","friends_count","created_at","location","lang","time_zone","status.id_str","status.created_at","status.text"
"112448318","BJPolS","British Jnl Pol Sci","British Journal of Political Science from Cambridge University Press.",8720,3563,379,"Mon Feb 08 14:52:14 +0000 2010","Cambridge","en","London","925314776305152000","Tue Oct 31 10:53:28 +0000 2017","#FirstView - The Measurement of Real-Time Perceptions of Financial Stress: Implications for Political Science… https://t.co/v7bp8LgcsV"
"1137637033","AJPS_Editor","AJPS","American Journal of Political Science",7014,506,64,"Thu Jan 31 18:42:30 +0000 2013","","en","Eastern Time (US & Canada)","925453592240295942","Tue Oct 31 20:05:05 +0000 2017","Everything to Everyone Electoral Consequences of Broad-Appeal Strategy in Europe https://t.co/ZyoXP7oAJF  via @AJPS_Editor #AJPSVirtualIssue"
"114865774","USCGouldLaw","USC Gould Law","A top-20 law school, USC Gould offers students a world-class education and unparalleled opportunities.",5638,6688,2267,"Tue Feb 16 21:24:55 +0000 2010","Los Angeles, CA","en","Pacific Time (US & Canada)","925483207260192768","Tue Oct 31 22:02:45 +0000 2017","RT @vanessablum: Love this Twitter debate btwn @isamuel (@Harvard_Law @FirstMondaysFM) &amp; @OrinKerr (@gwlaw @USCGouldLaw). Scholarly joustin…"
"116630713","monkeycageblog","Monkey Cage","H.L. Mencken said: ""Democracy is the art of running the circus from the monkey cage."" We do political science and politics. Tweets by bot.",39323,18731,411,"Tue Feb 23 03:53:00 +0000 2010","","en","Central Time (US & Canada)","925317522764820480","Tue Oct 31 11:04:23 +0000 2017","Chief Justice Roberts and other judges have a hard time with statistics. That’s a real problem https://t.co/gTNpPurF63"
"1180479770","jaj7d","Jeff Jenkins","Provost Professor of Public Policy, Political Science, and Law. @USC
Director, @BedrosianCenter",70,10,79,"Thu Feb 14 22:26:28 +0000 2013","Los Angeles, CA","en","Eastern Time (US & Canada)","917420870447931393","Mon Oct 09 16:05:55 +0000 2017","A little bit about my PIPE initiative at USC.  I'm really excited about it.  https://t.co/9t3kV2NkAr"
"119679411","EPSRjournal","Euro Pol Sci Review","European Political Science Review, the new journal from ECPR and Cambridge University Press",7402,2638,189,"Thu Mar 04 09:44:16 +0000 2010","","en","London","925307903975788544","Tue Oct 31 10:26:10 +0000 2017","MT @KingsDMES: .@ferdinandeibl &amp; @lynge_mangueira - the effects of democratization on political budget cycles https://t.co/0aqPHM0ckw"
"119682506","InternatlTheory","International Theory","International Theory - A journal of International Politics, Law and Philosophy",6938,3038,353,"Thu Mar 04 10:00:18 +0000 2010","","en",NA,"925410894984744965","Tue Oct 31 17:15:25 +0000 2017","MT @CUP_PoliSci: In 2018, the @EIAJournal editors are interested in articles that address these topics:… https://t.co/pt7PHti9rx"
"1222983870","GovInnovations","Innovation @ Harvard","The Government Innovators Network at The Harvard Kennedy School, housed at the Ash Center for Democratic Governance and Innovation.",2201,1863,1300,"Tue Feb 26 21:28:24 +0000 2013","Harvard Kennedy School","en","Pacific Time (US & Canada)","925424635902136324","Tue Oct 31 18:10:01 +0000 2017",".@OhioState to Make College Tuition-free for Low and Moderate Income Residents 🎓 https://t.co/U6YdywUTeJ"
"122517396","USCDornsife","USC Dornsife","USC Dornsife is the academic heart of the University of Southern California, offering courses across the humanities, social sciences and sciences.",6555,8612,1697,"Sat Mar 13 00:25:15 +0000 2010","Los Angeles, CA","en","Pacific Time (US & Canada)","925476361195610113","Tue Oct 31 21:35:33 +0000 2017","RT @USCMidEast: Wed (11/15) @USCViterbi's Najmedin Meshkati and @USC_SIR's Andrew Coe talk #Iran #NuclearDeal under the #Trump administrati…"
"1265031758","USC_Soci","USC Sociology","A department with a proud history, our faculty includes some of the leading sociologists across multiple/diverse fields. RTs not endorsements. 
Let's tweet!",629,477,446,"Wed Mar 13 17:42:34 +0000 2013","Hazel Stanley Hall 314","en",NA,"923236285921112064","Wed Oct 25 17:14:18 +0000 2017","https://t.co/KnIFd7MblR"
