"state","party","gender","nameid","icpsr.id","govtrack.id","cspan.id","thomas.id","class","next.election","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"OH","D","M","B000944","29389","400050","5051","136", , ,6,-2.40225128110587,-3.2473527444832,-1.63114359184216,"Brown (D-OH)",1,"Sherrod","Brown"
"OR","D","M","M001176","40908","412325","1029842","1900", , ,3,-2.29672801838832,-3.08571730488222,-1.42801318715516,"Merkley (D-OR)",2,"Jeff","Merkley"
"MA","D","M","M000133","14435","400253","260","735", , ,6,-2.27947922859175,-3.1133879090961,-1.49366638119605,"Markey (D-MA)",3,"Edward","Markey"
"NY","D","F","G000555","20735","412223","1022862","1866", , ,1,-2.11086740578232,-2.82171840381414,-1.41052646671471,"Gillibrand (D-NY)",4,"Kirsten","Gillibrand"
"MA","D","F","W000817","41301","412542","1023023","2182", , ,0,-2.07084752914819,-2.80928089966257,-1.42713070927587,"Warren (D-MA)",5,"Elizabeth","Warren"
"MN","D","M","F000457","40904","412378","23334","1969", , ,7,-1.9213838350719,-2.56815057514233,-1.31305744623288,"Franken (D-MN)",6,"Al","Franken"
"VT","D","M","L000174","14307","300065","1552","1383", , ,3,-1.74403461359004,-2.30681620558259,-1.09761480015582,"Leahy (D-VT)",7,"Patrick","Leahy"
"WI","D","F","B001230","29940","400013","57884","1558", , ,0,-1.69750243421892,-2.36819513406009,-1.18558290955705,"Baldwin (D-WI)",8,"Tammy","Baldwin"
"NJ","D","M","B001288","41308","412598","84679","2194", , ,2,-1.62636658896692,-2.18455406751642,-1.08888398989487,"Booker (D-NJ)",9,"Cory","Booker"
"NV","D","M","R000146","15054","300082","1683","952", , ,54,-1.5937063522668,-2.12065346927892,-1.11499900733795,"Reid (D-NV)",10,"Harry","Reid"
"RI","D","M","R000122","29142","300081","24239","949", , ,0,-1.40017789471975,-1.88606412671976,-0.941265829717251,"Reed (D-RI)",11,"Jack","Reed"
"HI","D","F","H001042","20713","412200","91216","1844", , ,1,-1.35017484236744,-1.84145431336452,-0.976604372651647,"Hirono (D-HI)",12,"Mazie","Hirono"
"CA","D","F","B000711","15011","300011","2470","116", , ,34,-1.24265055629657,-1.65450098715849,-0.856040772649866,"Boxer (D-CA)",13,"Barbara","Boxer"
"IL","D","M","D000563","15021","300038","6741","326", , ,2,-1.22671148380706,-1.63379129014896,-0.804500229058434,"Durbin (D-IL)",14,"Richard","Durbin"
"MD","D","F","M000702","14440","300073","1396","802", , ,14,-1.12144524754304,-1.4801190361583,-0.78342050388174,"Mikulski (D-MD)",15,"Barbara","Mikulski"
"RI","D","M","W000802","40704","412247","92235","1823", , ,0,-0.934938687565217,-1.20113273849376,-0.616772452023862,"Whitehouse (D-RI)",16,"Sheldon","Whitehouse"
"CT","D","M","M001169","20707","412194","1021270","1837", , ,1,-0.93212617241217,-1.26674094909865,-0.668558578896227,"Murphy (D-CT)",17,"Christopher","Murphy"
"HI","D","M","S001194","41112","412507","87784","2173", , ,3,-0.899885905538089,-1.20521979501025,-0.655156577393454,"Schatz (D-HI)",18,"Brian","Schatz"
"NY","D","M","S000148","14858","300087","5929","1036", , ,1,-0.899293802046243,-1.22084900568004,-0.675226413564313,"Schumer (D-NY)",19,"Charles","Schumer"
"MD","D","M","C000141","15408","400064","4004","174", , ,0,-0.884501577784023,-1.15210226821172,-0.626666929064043,"Cardin (D-MD)",20,"Benjamin","Cardin"
"CT","D","M","B001277","41101","412490","21799","2076", , ,1,-0.877043280361465,-1.13690698844628,-0.590888610679911,"Blumenthal (D-CT)",21,"Richard","Blumenthal"
"NJ","D","M","M000639","29373","400272","29608","791", , ,5,-0.83225314142318,-1.06698555252717,-0.588429268917774,"Menendez (D-NJ)",22,"Robert","Menendez"
"MI","D","M","P000595","20923","412305","50199","1929", , ,5,-0.83100126974456,-1.09945814566533,-0.579491495920152,"Peters (D-MI)",23,"Gary","Peters"
"MI","D","F","S000770","29732","300093","45451","1531", , ,4,-0.789196549501476,-1.01331763512414,-0.539904467826371,"Stabenow (D-MI)",24,"Debbie","Stabenow"
"DE","D","M","C001088","40916","412390","9269028","1984", , ,12,-0.764008737423065,-0.987223315885544,-0.544101553555811,"Coons (D-DE)",25,"Christopher","Coons"
"NM","D","M","U000039","29924","400413","10075","1567", , ,1,-0.759582891210431,-0.999381864713527,-0.533569517855785,"Udall (D-NM)",26,"Tom","Udall"
"OR","D","M","W000779","14871","300100","1962","1247", , ,2,-0.732088413677007,-0.945300666378843,-0.50971301306647,"Wyden (D-OR)",27,"Ron","Wyden"
"VT","I","M","S000033","29147","400357","994","1010", , ,19,-0.722900958978066,-1.00450144546075,-0.546734429516233,"Sanders (I-VT)",28,"Bernard","Sanders"
"WA","D","F","C000127","39310","300018","26137","172", , ,0,-0.710609740892997,-0.934394908411755,-0.488992236219273,"Cantwell (D-WA)",29,"Maria","Cantwell"
"WA","D","F","M001111","49308","300076","25277","1409", , ,5,-0.691985625542496,-0.916327470589941,-0.488081271912203,"Murray (D-WA)",30,"Patty","Murray"
"NH","D","F","S001181","40906","412323","22850","1901", , ,1,-0.683751481137822,-0.869660198189221,-0.451442160601405,"Shaheen (D-NH)",31,"Jeanne","Shaheen"
"NM","D","M","H001046","20930","412281","1030686","1937", , ,1,-0.657036080770538,-0.861328064508538,-0.463719716191901,"Heinrich (D-NM)",32,"Martin","Heinrich"
"CA","D","F","F000062","49300","300043","13061","1332", , ,10,-0.623168778789007,-0.815741117950209,-0.415336550072683,"Feinstein (D-CA)",33,"Dianne","Feinstein"
"FL","D","M","N000032","14651","300078","1931","859", , ,21,-0.558078270793717,-0.724033179508495,-0.390797587013189,"Nelson (D-FL)",34,"Bill","Nelson"
"MN","D","F","K000367","40700","412242","83701","1826", , ,0,-0.539283690167188,-0.701559701004625,-0.371282797592496,"Klobuchar (D-MN)",35,"Amy","Klobuchar"
"VA","D","M","K000384","41305","412582","49219","2176", , ,0,-0.433900015004229,-0.585405016959435,-0.293035081167169,"Kaine (D-VA)",36,"Tim","Kaine"
"PA","D","M","C001070","40703","412246","47036","1828", , ,1,-0.366545020592038,-0.518546781565061,-0.239764081321242,"Casey (D-PA)",37,"Bob","Casey"
"DE","D","M","C000174","15015","300019","663","179", , ,4,-0.357409482147004,-0.501655756226378,-0.231664905039518,"Carper (D-DE)",38,"Thomas","Carper"
"MT","D","M","T000464","40702","412244","1020176","1829", , ,1,-0.330376961775054,-0.453225701609803,-0.194328940491187,"Tester (D-MT)",39,"Jon","Tester"
"ME","I","M","K000383","41300","412545","37413","2185", , ,6,-0.320879231818629,-0.444599887488824,-0.197325789457969,"King (I-ME)",40,"Angus","King"
"CO","D","M","B001267","40910","412330","1031622","1965", , ,0,-0.315174991222363,-0.426688750794026,-0.190370586107554,"Bennet (D-CO)",41,"Michael","Bennet"
"VA","D","M","W000805","40909","412321","7630","1897", , ,17,-0.286637452307027,-0.40537816201986,-0.147018718811281,"Warner (D-VA)",42,"Mark","Warner"
"MO","D","F","M001170","40701","412243","1012014","1820", , ,8,-0.198004939811033,-0.338114192497373,-0.0777202072191011,"McCaskill (D-MO)",43,"Claire","McCaskill"
